source,target,weight
Curaçao,Kazakhstan,1.0
Grenada,Russia,1.0
Canada,Mexico,3.5
United States,Panama,3.5
France,Croatia,3.5
Portugal,Denmark,3.5
Italy,Germany,3.5
Netherlands,Spain,1.75
Spain,Netherlands,1.75
Austria,Serbia,1.75
Serbia,Austria,1.75
Greece,Scotland,3.5
Hungary,Turkey,3.5
Belgium,Ukraine,3.5
Armenia,Georgia,3.5
Bulgaria,Republic of Ireland,3.5
Iceland,Kosovo,3.5
Slovakia,Slovenia,1.75
Slovenia,Slovakia,1.75
Laos,Sri Lanka,1.0
Tajikistan,Belarus,1.0
Chile,Paraguay,4.0
Bolivia,Peru,4.0
Colombia,Brazil,4.0
United Arab Emirates,Iran,4.0
Kyrgyzstan,Uzbekistan,4.0
North Korea,Qatar,4.0
South Korea,Oman,2.0
Oman,South Korea,2.0
Iraq,Kuwait,2.0
Kuwait,Iraq,2.0
Palestine,Jordan,4.0
Bahrain,Japan,4.0
Indonesia,Australia,4.0
China,Saudi Arabia,4.0
Guinea-Bissau,Sierra Leone,4.0
Zimbabwe,Benin,2.0
Benin,Zimbabwe,2.0
Mauritius,Cape Verde,4.0
Libya,Angola,2.0
Angola,Libya,2.0
Gambia,Kenya,2.0
Kenya,Gambia,2.0
Seychelles,Gabon,4.0
Uganda,Mozambique,4.0
Malawi,Namibia,4.0
Comoros,Mali,4.0
Timor-Leste,Lebanon,1.0
Belize,Costa Rica,2.5
Guatemala,Guyana,2.5
Bermuda,Honduras,2.5
Saint Vincent and the Grenadines,Jamaica,1.25
Jamaica,Saint Vincent and the Grenadines,1.25
Martinique,Suriname,2.5
Nicaragua,Guadeloupe,2.5
Cuba,Trinidad and Tobago,2.5
Northern Ireland,Switzerland,0.5
Switzerland,Northern Ireland,0.5
Puerto Rico,Dominican Republic,0.5
Dominican Republic,Puerto Rico,0.5
Singapore,Nepal,1.0
Afghanistan,Thailand,1.0
Venezuela,Ecuador,4.0
Uruguay,Argentina,4.0
Tahiti,New Caledonia,4.0
Fiji,New Zealand,4.0
Djibouti,Burkina Faso,4.0
Ethiopia,Egypt,4.0
South Sudan,DR Congo,4.0
Rwanda,Nigeria,4.0
South Africa,Lesotho,4.0
Niger,Morocco,4.0
Burundi,Ivory Coast,4.0
Botswana,Algeria,4.0
Guinea,Somalia,2.0
Somalia,Guinea,2.0
São Tomé and Príncipe,Equatorial Guinea,4.0
Chad,Ghana,4.0
Malta,Finland,4.0
Lithuania,Poland,4.0
San Marino,Cyprus,4.0
Romania,Bosnia and Herzegovina,4.0
Albania,England,4.0
Andorra,Latvia,4.0
Azerbaijan,Haiti,1.0
Sweden,Luxembourg,1.0
Togo,Mauritania,2.0
Mauritania,Togo,2.0
Sudan,Senegal,2.0
Senegal,Sudan,2.0
Moldova,Norway,4.0
Estonia,Israel,4.0
Liechtenstein,North Macedonia,4.0
Kazakhstan,Wales,4.0
Gibraltar,Montenegro,4.0
Faroe Islands,Czech Republic,4.0
United States,Canada,3.5
Panama,Mexico,3.5
Croatia,France,3.5
Germany,Italy,1.75
Italy,Germany,1.75
Denmark,Portugal,3.5
Spain,Netherlands,1.75
Netherlands,Spain,1.75
Ukraine,Belgium,3.5
Hungary,Turkey,3.5
Scotland,Greece,3.5
Austria,Serbia,3.5
Armenia,Georgia,3.5
Iceland,Kosovo,3.5
Bulgaria,Republic of Ireland,3.5
Slovakia,Slovenia,3.5
Eswatini,Mauritius,2.0
Mauritius,Eswatini,2.0
Kenya,Gabon,4.0
New Caledonia,New Zealand,4.0
Guinea-Bissau,Burkina Faso,4.0
Djibouti,Ethiopia,4.0
Gambia,Ivory Coast,4.0
Namibia,Equatorial Guinea,2.0
Equatorial Guinea,Namibia,2.0
São Tomé and Príncipe,Liberia,4.0
Malawi,Tunisia,4.0
Central African Republic,Mali,2.0
Mali,Central African Republic,2.0
Madagascar,Ghana,4.0
Lithuania,Finland,2.0
Finland,Lithuania,2.0
Malta,Poland,4.0
Cyprus,Bosnia and Herzegovina,4.0
San Marino,Romania,4.0
Latvia,England,4.0
Andorra,Albania,4.0
Timor-Leste,Tajikistan,2.5
Maldives,Philippines,2.5
Bhutan,Yemen,1.25
Yemen,Bhutan,1.25
Brunei,Lebanon,2.5
India,Bangladesh,1.25
Bangladesh,India,1.25
Singapore,Hong Kong,1.25
Hong Kong,Singapore,1.25
Taiwan,Turkmenistan,2.5
Sri Lanka,Thailand,2.5
Afghanistan,Myanmar,2.5
Pakistan,Syria,2.5
Laos,Vietnam,2.5
Nepal,Malaysia,2.5
Belize,Costa Rica,2.5
Guyana,Guatemala,2.5
Bermuda,Honduras,2.5
Saint Vincent and the Grenadines,Jamaica,2.5
Martinique,Suriname,2.5
Nicaragua,Guadeloupe,2.5
Cuba,Trinidad and Tobago,2.5
Azerbaijan,Belarus,1.0
Zambia,Russia,1.0
Cambodia,Aruba,1.0
Puerto Rico,Dominican Republic,1.0
Bonaire,Niger,1.0
Northern Ireland,Sweden,1.0
Luxembourg,Switzerland,1.0
Bolivia,Uruguay,2.0
Uruguay,Bolivia,2.0
Colombia,Paraguay,2.0
Paraguay,Colombia,2.0
Peru,Venezuela,4.0
Brazil,Argentina,4.0
Chile,Ecuador,2.0
Ecuador,Chile,2.0
Iran,Uzbekistan,2.0
Uzbekistan,Iran,2.0
Qatar,Kyrgyzstan,4.0
North Korea,United Arab Emirates,4.0
South Korea,Jordan,2.0
Jordan,South Korea,2.0
Kuwait,Oman,4.0
Iraq,Palestine,4.0
China,Australia,4.0
Japan,Saudi Arabia,2.0
Saudi Arabia,Japan,2.0
Bahrain,Indonesia,4.0
Sierra Leone,Egypt,4.0
Mauritania,DR Congo,4.0
Togo,Senegal,4.0
Sudan,South Sudan,2.0
South Sudan,Sudan,2.0
Benin,South Africa,4.0
Nigeria,Zimbabwe,2.0
Zimbabwe,Nigeria,2.0
Rwanda,Lesotho,2.0
Lesotho,Rwanda,2.0
Angola,Cape Verde,4.0
Libya,Cameroon,4.0
Tanzania,Morocco,4.0
Seychelles,Burundi,4.0
Guinea,Uganda,4.0
Somalia,Botswana,4.0
Mozambique,Algeria,4.0
Chad,Comoros,4.0
Moldova,Estonia,4.0
Israel,Norway,4.0
Liechtenstein,Kazakhstan,4.0
North Macedonia,Wales,2.0
Wales,North Macedonia,2.0
Gibraltar,Czech Republic,4.0
Faroe Islands,Montenegro,4.0
Dominica,Barbados,0.5
Barbados,Dominica,0.5
Dominica,Barbados,0.5
Barbados,Dominica,0.5
Saint Kitts and Nevis,Saint Vincent and the Grenadines,1.0
Anguilla,Saint Kitts and Nevis,1.0
Saint Kitts and Nevis,Saint Vincent and the Grenadines,1.0
Trinidad and Tobago,Jamaica,3.5
Ghana,Nigeria,3.5
Lebanon,Oman,1.0
Malaysia,Cape Verde,0.5
Cape Verde,Malaysia,0.5
Saint Vincent and the Grenadines,British Virgin Islands,0.5
British Virgin Islands,Saint Vincent and the Grenadines,0.5
Jordan,Saudi Arabia,1.0
Trinidad and Tobago,Ghana,3.5
Jamaica,Nigeria,1.75
Nigeria,Jamaica,1.75
Anguilla,Grenada,1.0
El Salvador,Guatemala,0.5
Guatemala,El Salvador,0.5
Puerto Rico,Nicaragua,0.5
Nicaragua,Puerto Rico,0.5
Burkina Faso,Tunisia,1.0
Malaysia,Cape Verde,1.0
Germany,Portugal,3.5
India,Thailand,1.0
Bhutan,Bangladesh,1.0
Cayman Islands,Bermuda,4.0
Bahamas,Grenada,4.0
Barbados,Aruba,2.0
Aruba,Barbados,2.0
Belize,Montserrat,4.0
British Virgin Islands,Dominica,4.0
Anguilla,Saint Vincent and the Grenadines,4.0
France,Spain,3.5
Rwanda,Algeria,1.0
Kazakhstan,Belarus,1.0
Cambodia,Tajikistan,1.0
Mali,DR Congo,1.0
Faroe Islands,Georgia,1.0
Hong Kong,Nepal,0.5
Nepal,Hong Kong,0.5
Maldives,Singapore,1.0
Ecuador,Brazil,2.0
Brazil,Ecuador,2.0
Uruguay,Paraguay,4.0
Chile,Argentina,4.0
United Arab Emirates,Uzbekistan,2.0
Uzbekistan,United Arab Emirates,2.0
North Korea,Kyrgyzstan,2.0
Kyrgyzstan,North Korea,2.0
Iran,Qatar,4.0
Oman,Jordan,4.0
Iraq,South Korea,4.0
Kuwait,Palestine,4.0
Bahrain,Saudi Arabia,4.0
Japan,Australia,4.0
China,Indonesia,4.0
Brunei,Sri Lanka,1.0
Bulgaria,Cyprus,0.5
Cyprus,Bulgaria,0.5
Guinea-Bissau,Burundi,1.0
Mauritania,Central African Republic,1.0
Equatorial Guinea,Gambia,1.0
Hungary,Sweden,1.0
Armenia,Kosovo,1.0
Luxembourg,Slovenia,1.0
Tunisia,Morocco,1.0
Gabon,Niger,1.0
Moldova,Poland,1.0
Republic of Ireland,Senegal,0.5
Senegal,Republic of Ireland,0.5
Scotland,Iceland,1.0
South Africa,Tanzania,0.5
Tanzania,South Africa,0.5
Uganda,Cameroon,1.0
Zimbabwe,Burkina Faso,1.0
Russia,Nigeria,0.5
Nigeria,Russia,0.5
Colombia,Peru,2.0
Peru,Colombia,2.0
Bolivia,Venezuela,4.0
Italy,Norway,4.0
Estonia,Israel,4.0
Liechtenstein,Wales,4.0
North Macedonia,Belgium,2.0
Belgium,North Macedonia,2.0
Montenegro,Czech Republic,4.0
Gibraltar,Croatia,4.0
Antigua and Barbuda,Cuba,4.0
Saint Kitts and Nevis,Trinidad and Tobago,4.0
Saint Lucia,Curaçao,4.0
Guyana,Nicaragua,4.0
Dominican Republic,Guatemala,4.0
Puerto Rico,Suriname,4.0
Northern Ireland,Denmark,1.0
Slovakia,Greece,1.0
Latvia,Azerbaijan,0.5
Azerbaijan,Latvia,0.5
Mexico,Switzerland,1.0
United States,Turkey,1.0
Malta,Lithuania,2.0
Lithuania,Malta,2.0
Finland,Netherlands,4.0
San Marino,Bosnia and Herzegovina,4.0
Romania,Austria,4.0
Andorra,England,4.0
Albania,Serbia,2.0
Serbia,Albania,2.0
Ukraine,Canada,2.0
Ivory Coast,New Zealand,2.0
Kenya,Chad,0.5
Chad,Kenya,0.5
Cayman Islands,Honduras,4.0
Bahamas,Costa Rica,4.0
Aruba,Haiti,4.0
Belize,Panama,4.0
British Virgin Islands,Jamaica,4.0
Anguilla,El Salvador,4.0
Germany,France,3.5
Portugal,Spain,1.75
Spain,Portugal,1.75
Madagascar,DR Congo,1.0
Georgia,Cape Verde,0.5
Cape Verde,Georgia,0.5
Rwanda,Algeria,1.0
Equatorial Guinea,Cameroon,0.5
Cameroon,Equatorial Guinea,0.5
Guinea-Bissau,Gabon,1.0
Comoros,Kosovo,1.0
Liechtenstein,Scotland,1.0
Montenegro,Armenia,0.5
Armenia,Montenegro,0.5
Benin,Morocco,1.0
Uganda,Gambia,0.5
Gambia,Uganda,0.5
Moldova,Italy,4.0
Estonia,Norway,4.0
Kazakhstan,North Macedonia,4.0
Wales,Belgium,4.0
Gibraltar,Faroe Islands,4.0
Czech Republic,Croatia,4.0
Maldives,Timor-Leste,2.5
Philippines,Tajikistan,1.25
Tajikistan,Philippines,1.25
Bhutan,Brunei,2.5
Yemen,Lebanon,1.25
Lebanon,Yemen,1.25
Bangladesh,Singapore,2.5
India,Hong Kong,2.5
Taiwan,Sri Lanka,2.5
Thailand,Turkmenistan,2.5
Pakistan,Myanmar,2.5
Afghanistan,Syria,2.5
Nepal,Laos,2.5
Vietnam,Malaysia,2.5
Azerbaijan,Hungary,1.0
Burundi,Mauritania,0.5
Mauritania,Burundi,0.5
Chad,Kenya,1.0
Lithuania,Denmark,1.0
England,Senegal,1.0
Bulgaria,Greece,1.0
Slovakia,Israel,1.0
Luxembourg,Republic of Ireland,0.5
Republic of Ireland,Luxembourg,0.5
Turkey,Mexico,1.0
Niger,Zimbabwe,0.5
Zimbabwe,Niger,0.5
Iceland,Northern Ireland,1.0
Bosnia and Herzegovina,Slovenia,1.0
Mozambique,South Africa,1.0
Algeria,Sweden,1.0
United States,Switzerland,1.0
Chile,Bolivia,4.0
Venezuela,Uruguay,4.0
Peru,Ecuador,2.0
Ecuador,Peru,2.0
Argentina,Colombia,2.0
Colombia,Argentina,2.0
Paraguay,Brazil,4.0
Qatar,Uzbekistan,4.0
North Korea,Iran,4.0
Kyrgyzstan,United Arab Emirates,2.0
United Arab Emirates,Kyrgyzstan,2.0
Kuwait,South Korea,4.0
Jordan,Iraq,4.0
Palestine,Oman,2.0
Oman,Palestine,2.0
Bahrain,China,4.0
Indonesia,Japan,4.0
Saudi Arabia,Australia,4.0
Malta,Netherlands,4.0
Poland,Finland,4.0
San Marino,Austria,4.0
Cyprus,Romania,4.0
Andorra,Serbia,4.0
Latvia,Albania,2.0
Albania,Latvia,2.0
New Zealand,Ukraine,2.0
Canada,Ivory Coast,1.0
Ivory Coast,Canada,1.0
Belarus,Russia,1.0
Cuba,Bermuda,4.0
Antigua and Barbuda,Honduras,4.0
Saint Kitts and Nevis,Grenada,4.0
Trinidad and Tobago,Costa Rica,4.0
Barbados,Saint Lucia,4.0
Haiti,Curaçao,4.0
Montserrat,Guyana,4.0
Nicaragua,Panama,4.0
Dominica,Dominican Republic,4.0
Guatemala,Jamaica,4.0
Saint Vincent and the Grenadines,Puerto Rico,4.0
El Salvador,Suriname,2.0
Suriname,El Salvador,2.0
Dominican Republic,Mexico,3.5
Suriname,Costa Rica,3.5
Trinidad and Tobago,United States,3.5
Haiti,Saudi Arabia,3.5
Guadeloupe,Panama,3.5
Jamaica,Guatemala,3.5
Curaçao,El Salvador,1.75
El Salvador,Curaçao,1.75
Honduras,Canada,3.5
Dominican Republic,Costa Rica,3.5
Suriname,Mexico,3.5
Trinidad and Tobago,Haiti,1.75
Haiti,Trinidad and Tobago,1.75
Saudi Arabia,United States,3.5
Guadeloupe,Jamaica,3.5
Guatemala,Panama,3.5
Curaçao,Canada,1.75
Canada,Curaçao,1.75
El Salvador,Honduras,3.5
Mexico,Costa Rica,1.75
Costa Rica,Mexico,1.75
Dominican Republic,Suriname,1.75
Suriname,Dominican Republic,1.75
Saudi Arabia,Trinidad and Tobago,1.75
Trinidad and Tobago,Saudi Arabia,1.75
Haiti,United States,3.5
Curaçao,Honduras,3.5
El Salvador,Canada,3.5
Jamaica,Panama,3.5
Guadeloupe,Guatemala,3.5
Panama,Honduras,1.75
Honduras,Panama,1.75
Saudi Arabia,Mexico,3.5
Canada,Guatemala,1.75
Guatemala,Canada,1.75
United States,Costa Rica,1.75
Costa Rica,United States,1.75
Tibet,Tamil Eelam,3.5
Guatemala,United States,3.5
Honduras,Mexico,3.5
East Turkestan,Tamil Eelam,3.5
Tibet,East Turkestan,3.5
East Turkestan,Tamil Eelam,3.5
United States,Mexico,3.5
Hitra,Isle of Man,2.0
Frøya,Orkney,2.0
Gozo,Shetland,1.0
Shetland,Gozo,1.0
Hitra,Orkney,2.0
Frøya,Isle of Man,2.0
Gozo,Jersey,2.0
Western Isles,Ynys Môn,2.0
Orkney,Isle of Man,2.0
Frøya,Hitra,2.0
Jersey,Shetland,1.0
Shetland,Jersey,1.0
Frøya,Hitra,2.0
Gozo,Western Isles,1.0
Western Isles,Gozo,1.0
Shetland,Orkney,2.0
Isle of Man,Ynys Môn,2.0
Jersey,Isle of Man,2.0
United States Virgin Islands,Turks and Caicos Islands,1.75
Turks and Caicos Islands,United States Virgin Islands,1.75
Marshall Islands,United States Virgin Islands,3.5
Marshall Islands,Turks and Caicos Islands,3.5
Qatar,Lebanon,0.5
Lebanon,Qatar,0.5
Qatar,Bahrain,0.5
Bahrain,Qatar,0.5
Seychelles,Gabon,4.0
Gibraltar,Albania,1.0
Singapore,Malaysia,1.0
Finland,Norway,1.0
Russia,Jordan,0.5
Jordan,Russia,0.5
North Macedonia,Saudi Arabia,1.0
Syria,United Arab Emirates,1.0
Bolivia,Colombia,4.0
Venezuela,Argentina,4.0
Paraguay,Ecuador,2.0
Ecuador,Paraguay,2.0
Peru,Uruguay,4.0
Chile,Brazil,4.0
Guinea-Bissau,Sierra Leone,2.0
Sierra Leone,Guinea-Bissau,2.0
Angola,Libya,4.0
Eswatini,Cameroon,4.0
Mauritius,Cape Verde,4.0
Botswana,Algeria,4.0
São Tomé and Príncipe,Equatorial Guinea,4.0
Liberia,Tunisia,4.0
Chad,Ghana,2.0
Ghana,Chad,2.0
Central African Republic,Madagascar,4.0
Comoros,Mali,4.0
Luxembourg,Northern Ireland,4.0
Germany,Slovakia,4.0
Georgia,Turkey,4.0
Bulgaria,Spain,4.0
Lithuania,Malta,2.0
Malta,Lithuania,2.0
Netherlands,Poland,2.0
Poland,Netherlands,2.0
Kazakhstan,Wales,4.0
Liechtenstein,Belgium,4.0
Hong Kong,Iraq,3.5
Fiji,Thailand,3.5
Suriname,Panama,2.0
Panama,Suriname,2.0
Guatemala,El Salvador,4.0
New Zealand,Australia,2.0
Taiwan,Indonesia,1.0
Romania,Canada,1.0
Djibouti,Burkina Faso,4.0
Ethiopia,Egypt,4.0
South Sudan,DR Congo,4.0
Togo,Mauritania,4.0
Sudan,Senegal,4.0
Zimbabwe,Benin,4.0
Lesotho,South Africa,4.0
Congo,Tanzania,2.0
Tanzania,Congo,2.0
Niger,Morocco,4.0
Kenya,Gambia,4.0
Burundi,Ivory Coast,4.0
Somalia,Guinea,4.0
Mozambique,Uganda,4.0
Namibia,Malawi,4.0
Slovenia,Sweden,2.0
Sweden,Slovenia,2.0
Kosovo,Switzerland,4.0
Denmark,Scotland,2.0
Scotland,Denmark,2.0
Belarus,Greece,4.0
Azerbaijan,Iceland,4.0
Ukraine,France,4.0
Estonia,Italy,4.0
Moldova,Israel,4.0
Faroe Islands,Croatia,4.0
Montenegro,Czech Republic,4.0
Bermuda,Jamaica,4.0
Trinidad and Tobago,Curaçao,2.0
Curaçao,Trinidad and Tobago,2.0
Haiti,Honduras,2.0
Honduras,Haiti,2.0
Nicaragua,Costa Rica,2.0
Costa Rica,Nicaragua,2.0
Sri Lanka,Maldives,3.5
Mexico,Japan,0.5
Japan,Mexico,0.5
Nepal,Bangladesh,0.5
Bangladesh,Nepal,0.5
United States,South Korea,1.0
Rwanda,Nigeria,4.0
Republic of Ireland,Hungary,2.0
Hungary,Republic of Ireland,2.0
Armenia,Portugal,4.0
Cyprus,Austria,4.0
San Marino,Bosnia and Herzegovina,4.0
Latvia,Serbia,4.0
Andorra,England,4.0
Central African Republic,Comoros,4.0
Northern Ireland,Germany,4.0
Luxembourg,Slovakia,4.0
Bulgaria,Georgia,4.0
Turkey,Spain,4.0
Lithuania,Netherlands,4.0
Finland,Poland,4.0
Liechtenstein,North Macedonia,4.0
Kazakhstan,Belgium,4.0
Qatar,Russia,1.0
Fiji,Hong Kong,3.5
Thailand,Iraq,3.5
Czech Republic,Saudi Arabia,0.5
Saudi Arabia,Czech Republic,0.5
Indonesia,Lebanon,0.5
Lebanon,Indonesia,0.5
Palestine,Malaysia,1.0
Syria,Kuwait,0.5
Kuwait,Syria,0.5
Bahrain,United Arab Emirates,1.0
Djibouti,Guinea-Bissau,4.0
Eswatini,Libya,4.0
Zambia,Morocco,4.0
Botswana,Mozambique,4.0
Guinea,Algeria,2.0
Algeria,Guinea,2.0
Somalia,Uganda,4.0
Equatorial Guinea,Tunisia,4.0
Malawi,Liberia,2.0
Liberia,Malawi,2.0
Chad,Madagascar,4.0
Mali,Ghana,4.0
Sweden,Kosovo,4.0
Slovenia,Switzerland,4.0
Belarus,Scotland,4.0
Greece,Denmark,4.0
Israel,Italy,4.0
Montenegro,Croatia,4.0
Gibraltar,Faroe Islands,4.0
El Salvador,Suriname,4.0
Panama,Guatemala,2.0
Guatemala,Panama,2.0
Estonia,Andorra,0.5
Andorra,Estonia,0.5
Dominican Republic,Jordan,1.0
San Marino,Malta,1.0
Mexico,South Korea,0.5
South Korea,Mexico,0.5
New Zealand,Australia,2.0
Singapore,Myanmar,0.5
Myanmar,Singapore,0.5
Sri Lanka,Maldives,0.5
Maldives,Sri Lanka,0.5
Japan,United States,1.0
Wales,Canada,1.0
Argentina,Ecuador,4.0
Peru,Paraguay,4.0
Brazil,Bolivia,4.0
Venezuela,Colombia,4.0
Chile,Uruguay,2.0
Uruguay,Chile,2.0
Ethiopia,Sierra Leone,4.0
Burkina Faso,Egypt,2.0
Egypt,Burkina Faso,2.0
Sudan,Togo,4.0
DR Congo,Senegal,4.0
Mauritania,South Sudan,2.0
South Sudan,Mauritania,2.0
Zimbabwe,Rwanda,4.0
South Africa,Nigeria,2.0
Nigeria,South Africa,2.0
Lesotho,Benin,4.0
Cameroon,Cape Verde,4.0
Mauritius,Angola,4.0
Tanzania,Niger,4.0
Seychelles,Kenya,4.0
Gabon,Ivory Coast,2.0
Ivory Coast,Gabon,2.0
Burundi,Gambia,4.0
São Tomé and Príncipe,Namibia,4.0
Azerbaijan,Ukraine,2.0
Ukraine,Azerbaijan,2.0
Iceland,France,4.0
Republic of Ireland,Armenia,4.0
Hungary,Portugal,4.0
Bosnia and Herzegovina,Austria,4.0
Cyprus,Romania,2.0
Romania,Cyprus,2.0
Moldova,Norway,4.0
Latvia,Albania,4.0
Serbia,England,4.0
Trinidad and Tobago,Jamaica,4.0
Bermuda,Curaçao,4.0
Costa Rica,Haiti,2.0
Haiti,Costa Rica,2.0
Nicaragua,Honduras,4.0
Saint Martin,Saint Kitts and Nevis,1.0
Saint Martin,Saint Kitts and Nevis,1.0
Cuba,Saint Vincent and the Grenadines,1.0
Qatar,Oman,2.0
Oman,Qatar,2.0
Indonesia,Saudi Arabia,4.0
Guinea-Bissau,Ethiopia,4.0
Sierra Leone,Burkina Faso,4.0
Djibouti,Egypt,4.0
Libya,Cape Verde,2.0
Cape Verde,Libya,2.0
Eswatini,Angola,2.0
Angola,Eswatini,2.0
Mauritius,Cameroon,4.0
Congo,Niger,4.0
Tanzania,Zambia,4.0
Comoros,Madagascar,4.0
Central African Republic,Ghana,4.0
Chad,Mali,4.0
Gibraltar,New Caledonia,1.0
Cuba,Saint Vincent and the Grenadines,1.0
Wales,England,1.0
New Zealand,Poland,1.0
Moldova,Romania,1.0
Bahrain,Morocco,1.0
British Virgin Islands,Grenada,1.0
Burundi,Kenya,4.0
Somalia,Algeria,4.0
Botswana,Uganda,4.0
Mozambique,Guinea,4.0
Equatorial Guinea,Malawi,4.0
Greece,Scotland,4.0
Belarus,Denmark,4.0
Malta,Netherlands,4.0
Lithuania,Finland,4.0
San Marino,Austria,4.0
Cyprus,Bosnia and Herzegovina,2.0
Bosnia and Herzegovina,Cyprus,2.0
Montenegro,Faroe Islands,4.0
Czech Republic,Croatia,2.0
Croatia,Czech Republic,2.0
Maldives,Tajikistan,2.5
Timor-Leste,Philippines,2.5
Brunei,Yemen,2.5
Bhutan,Lebanon,2.5
Singapore,India,1.25
India,Singapore,1.25
Bangladesh,Hong Kong,2.5
Turkmenistan,Sri Lanka,2.5
Taiwan,Thailand,2.5
Pakistan,Afghanistan,1.25
Afghanistan,Pakistan,1.25
Myanmar,Syria,2.5
Laos,Malaysia,2.5
Nepal,Vietnam,2.5
Namibia,Liberia,4.0
Nicaragua,Haiti,4.0
Honduras,Costa Rica,2.0
Costa Rica,Honduras,2.0
Venezuela,Argentina,1.0
Peru,Chile,1.0
Canada,Australia,1.0
Iran,Russia,1.0
Japan,Paraguay,1.75
Paraguay,Japan,1.75
Kuwait,Uzbekistan,1.0
Jordan,Bolivia,1.0
South Korea,Brazil,1.0
Dominican Republic,Uruguay,1.0
United States,Ecuador,0.5
Ecuador,United States,0.5
Togo,DR Congo,4.0
South Sudan,Senegal,4.0
Sudan,Mauritania,2.0
Mauritania,Sudan,2.0
Lesotho,Nigeria,4.0
Rwanda,Benin,4.0
South Africa,Zimbabwe,2.0
Zimbabwe,South Africa,2.0
Gambia,Gabon,4.0
Seychelles,Ivory Coast,4.0
São Tomé and Príncipe,Tunisia,4.0
Slovakia,Northern Ireland,4.0
Luxembourg,Germany,4.0
Kosovo,Slovenia,2.0
Slovenia,Kosovo,2.0
Sweden,Switzerland,4.0
Iceland,Ukraine,4.0
Azerbaijan,France,4.0
Liechtenstein,Kazakhstan,4.0
Belgium,North Macedonia,2.0
North Macedonia,Belgium,2.0
Suriname,Guatemala,2.0
Guatemala,Suriname,2.0
El Salvador,Panama,4.0
Bermuda,Trinidad and Tobago,4.0
Jamaica,Curaçao,4.0
Cuba,Grenada,1.0
Mexico,Colombia,1.0
Oman,United Arab Emirates,4.0
Indonesia,Iraq,4.0
Georgia,Spain,4.0
Bulgaria,Turkey,4.0
Armenia,Hungary,4.0
Republic of Ireland,Portugal,4.0
Israel,Norway,4.0
Estonia,Italy,4.0
Latvia,Andorra,2.0
Andorra,Latvia,2.0
Serbia,Albania,4.0
Malta,Bosnia and Herzegovina,1.0
Ethiopia,Burkina Faso,4.0
Djibouti,Sierra Leone,4.0
Guinea-Bissau,Egypt,4.0
Zambia,Niger,4.0
Chad,Central African Republic,4.0
Comoros,Ghana,4.0
Madagascar,Mali,4.0
Belarus,Scotland,4.0
Greece,Denmark,4.0
Finland,Netherlands,4.0
Lithuania,Poland,4.0
San Marino,Cyprus,4.0
Austria,Romania,4.0
Czech Republic,Faroe Islands,4.0
Gibraltar,Croatia,4.0
Liechtenstein,Montenegro,1.0
Uzbekistan,Uruguay,1.0
South Sudan,Togo,2.0
Togo,South Sudan,2.0
Zimbabwe,Lesotho,4.0
Eswatini,Cape Verde,4.0
Cameroon,Angola,2.0
Angola,Cameroon,2.0
Mauritius,Libya,2.0
Libya,Mauritius,2.0
Equatorial Guinea,Liberia,2.0
Liberia,Equatorial Guinea,2.0
Malawi,São Tomé and Príncipe,4.0
Namibia,Tunisia,4.0
Northern Ireland,Germany,4.0
Luxembourg,Slovakia,4.0
Slovenia,Switzerland,2.0
Switzerland,Slovenia,2.0
Sweden,Kosovo,4.0
Iceland,France,2.0
France,Iceland,2.0
Azerbaijan,Ukraine,4.0
Wales,Belgium,4.0
North Macedonia,Kazakhstan,2.0
Kazakhstan,North Macedonia,2.0
Haiti,Honduras,4.0
Nicaragua,Costa Rica,4.0
Jordan,Albania,1.0
Brazil,Japan,3.5
Tanzania,Iran,1.0
Canada,Colombia,0.5
Colombia,Canada,0.5
Paraguay,South Korea,1.0
Mexico,Ecuador,0.5
Ecuador,Mexico,0.5
Norway,New Zealand,0.5
New Zealand,Norway,0.5
Puerto Rico,Argentina,1.0
Bolivia,Russia,1.0
Australia,United States,1.0
United Arab Emirates,Qatar,4.0
Saudi Arabia,Iraq,2.0
Iraq,Saudi Arabia,2.0
Mauritania,Senegal,4.0
Sudan,DR Congo,4.0
Benin,Nigeria,4.0
Rwanda,South Africa,4.0
Congo,Morocco,4.0
Seychelles,Gambia,4.0
Kenya,Ivory Coast,4.0
Burundi,Gabon,4.0
Uganda,Algeria,4.0
Guinea,Botswana,2.0
Botswana,Guinea,2.0
Somalia,Mozambique,4.0
Bulgaria,Spain,4.0
Georgia,Turkey,4.0
Portugal,Hungary,2.0
Hungary,Portugal,2.0
Armenia,Republic of Ireland,4.0
Estonia,Moldova,2.0
Moldova,Estonia,2.0
Israel,Italy,4.0
Andorra,Serbia,4.0
Latvia,England,4.0
Maldives,Tajikistan,2.5
Timor-Leste,Philippines,2.5
Bhutan,Lebanon,2.5
Brunei,Yemen,2.5
India,Singapore,2.5
Hong Kong,Bangladesh,1.25
Bangladesh,Hong Kong,1.25
Taiwan,Thailand,2.5
Sri Lanka,Turkmenistan,2.5
Myanmar,Syria,2.5
Afghanistan,Pakistan,1.25
Pakistan,Afghanistan,1.25
Nepal,Vietnam,2.5
Laos,Malaysia,2.5
Panama,Suriname,2.0
Suriname,Panama,2.0
El Salvador,Guatemala,4.0
Curaçao,Trinidad and Tobago,2.0
Trinidad and Tobago,Curaçao,2.0
Bermuda,Jamaica,4.0
